Target,Phonetic Spelling: Target,Phonetic-Similarity Match,Phonetic Spelling: Match,Distorted Target,Distortion Similarity: Target,Distortion Similarity: Match,VPA_answer_trial1,VPA_answer_trial2,VPA_answer_trial3,trial1_notes,trial2_notes,trial3_notes
Virginia,vərˈʤɪnjə,West Virginia,wɛst vərˈʤɪnjə,wɔˌərˈʤɪnjə,76,69,Richmond,Richmond,Richmond,,,
Alaska,əˈlæskə,Nebraska,nəˈbræskə,əˈbræskə,75,89,Lincoln,Lincoln,Lincoln,,,
Nebraska,nəˈbræskə,Alaska,əˈlæskə,nəˈlæskə,78,88,Juneau,Juneau,Juneau,,,
Indiana,ˌɪndiˈænə,Louisiana,luˌiziˈænə,luˌɪniˈænə,80,76,Indianapolis,Indianapolis,Baton Rouge,,,
Montana,mɑnˈtænə,Indiana,ˌɪndiˈænə,ˌmɑnˈænə,82,67,Augusta,,,thought the state was Maine,thought I was asking a math problem,"gave me the definition of ""capital"""
Kansas,ˈkænzəs,Texas,ˈtɛksəs,ˈkæn-ksəs,71,59,Topeka,Topeka,Topeka,,,
Arizona,ˌɛrɪˈzoʊnə,Minnesota,ˌmɪnɪˈsoʊtə,ˌɛrɪ-ˈsoʊtə,73,70,Phoenix,Phoenix,Phoenix,,,
Minnesota,ˌmɪnɪˈsoʊtə,Arizona,ˌɛrɪˈzoʊnə,ˌmɪnˈzoʊnə,73,76,Augusta,Saint Paul,Augusta,thought the state was Maine,got it right,
Nevada,nəˈvɑdə,Nebraska,nəˈbræskə,nəˈvædskə,71,74,Carson City,Carson City,Lincoln,,,the /d/ is the determining factor here
Illinois,ˌɪləˈnɔɪ,California,ˌkæləˈfɔrnjə,ˌkælˈˌɪləˈnɔɪ,73,54,Sacramento,Sacramento,,,,"recognized ""what is the capital of"", but thought the state name was ""kill the noise"""
